1606905388379659531:1,1,8263-1,20,26051,6130,26075,5375,17861,13897,25727,30782,16016,8795,22240,17233,5521,9560,38355,24286,40274,13013,21700,36470-1,20,32780,12442,23002,18598,29947,32494,22873,17744,7799,17504,7388,37345,13630,8733,28132,181,6627,15030,13451,7084
1606905389380172112:1,1,24952-1,20,8117,4813,28703,11028,5358,18854,8475,22470,186,12120,16120,35802,9786,20127,22680,13971,22071,23181,33958,8096-1,20,16696,16359,32474,18939,6890,21388,27527,30479,39256,26789,28465,10858,14998,31934,4581,29159,17450,178,8494,30788
1606905389380425080:1,1,14142-1,20,6571,33921,31814,14093,27393,31005,23820,22843,20630,22828,7491,33456,6956,38650,13797,24506,33067,25488,24306,8629-1,20,569,11799,33812,31027,28936,23347,12062,30504,2569,11018,13439,20570,441,17417,14142,25304,21490,33077,26875,37593
1606905389380899737:1,1,28397-1,20,20503,3124,28651,10976,7645,2837,28330,3461,11773,29879,10091,1403,14002,36150,6983,15257,27406,15433,5083,40291-1,20,3691,10903,37345,10341,16773,10575,18622,10837,35869,1912,33246,20067,35961,11836,6980,13790,6316,29507,37963,5094
1606905389381182733:1,1,8861-1,20,28796,2633,34118,38297,35387,38326,26218,34312,23378,21412,38045,17392,40134,23600,19915,1088,15113,6470,24858,17911-1,20,14251,4104,8185,26554,705,16505,17999,17302,38114,21096,21369,10750,9377,5466,9996,3668,21329,7391,38638,4975
1606905389381690051:1,1,8469-1,20,36261,27592,15232,20855,35784,24414,30279,13325,15853,33420,27183,18993,33966,10905,26611,27503,37406,8662,12328,1850-1,20,22050,9869,31931,8198,2626,3331,22670,16477,21486,31210,6252,11109,37577,8125,11173,26351,11617,36851,24977,32961
1606905389381919511:1,1,28246-1,20,18275,11895,23720,9901,18739,38304,15581,27770,12509,18406,15252,10822,17258,33246,27311,36601,34658,27993,8922,17612-1,20,18677,2785,5027,38294,33749,94,12880,17136,37499,15070,9809,20129,21661,6900,11167,34794,28596,8404,33899,8141
1606905389382381799:1,1,9168-1,20,11142,27165,36722,23161,31649,18400,4727,870,23227,35152,16279,34307,38585,23844,17513,7139,20823,19756,23532,19947-1,20,7586,5910,28454,3392,9567,29321,39926,7056,30080,2818,37019,31279,20245,38853,474,24169,23177,18142,4984,30367
1606905390382934600:1,1,8405-1,20,5081,14175,7733,33020,37091,38027,21161,6083,7676,26292,642,20550,24124,21309,7922,32697,19592,13791,31887,15557-1,20,17807,5037,10793,9399,1188,26873,27159,25359,6171,21704,17940,37920,27978,16923,13268,21054,7078,30677,5647,4769
1606905390383389105:1,1,7550-1,20,6375,22526,14080,32048,36743,31923,11816,5547,10363,9288,22240,13544,9226,8656,33313,4697,6442,6946,7001,34398-1,20,39418,38876,38658,19491,8216,34565,39659,35942,12357,18500,30753,26392,27259,9616,27374,30036,7493,26021,7037,6918
1606905390383604226:1,1,39689-1,20,16953,5749,36113,33428,15364,35155,19218,22676,34914,18056,26933,37498,3569,30674,31366,907,32977,8294,26433,39643-1,20,16087,29025,27141,29674,27473,36730,16939,36931,15382,34173,16209,53,36425,38932,24345,29846,7663,3306,14037,7555
1606905390384042017:1,1,1723-1,20,13150,20693,27672,17820,25164,11480,16035,2226,8264,14655,38599,23578,19901,17234,9724,38415,6655,30936,39001,22030-1,20,10924,23781,33270,1472,37020,34563,13760,8618,17997,38342,13105,17980,27935,11201,35858,28287,2373,13311,36755,10918
