1606905388379659531:1,1,40140-1,20,37352,11589,39236,4648,23846,9717,11105,38604,6075,2818,14772,4883,29761,13865,14648,1224,30487,32445,15858,5806-1,20,24534,30128,38186,22185,27827,2851,24723,3423,15562,3425,32873,30348,22300,3446,4613,21409,14553,22619,9736,16088
1606905389380172112:1,1,21093-1,20,9081,3840,1251,9052,25856,6949,27057,23170,5838,37190,38989,6258,17198,20394,6170,19061,12535,39525,9343,9780-1,20,30564,1980,4278,14546,5621,39938,20625,35407,32118,25568,14413,36225,12451,24108,12932,18434,39850,14849,38989,10774
1606905389380425080:1,1,35042-1,20,23742,26629,16501,22975,3116,28612,17628,7852,10284,25489,21914,13795,20774,17479,36553,8746,29342,18075,15104,30056-1,20,13423,18711,20466,5199,22331,1656,2223,9995,24332,17617,5641,17644,39346,16148,40043,20929,16918,17763,22808,17213
1606905389380899737:1,1,36121-1,20,38947,37024,20908,32709,36736,38787,426,33467,2173,31922,5878,26487,649,30745,15543,34664,12587,30835,16553,19637-1,20,30655,24061,24742,8122,33347,24334,20191,29348,33282,12929,19787,26928,13338,30872,10129,21092,5752,26985,20650,24965
1606905389381182733:1,1,2385-1,20,40027,35244,16303,35049,35069,14971,23903,30261,6399,12804,20069,5890,32777,4651,29810,33998,36936,29035,13044,18739-1,20,20153,28801,26588,4827,21067,9464,9880,1804,9169,35363,28759,10712,2671,24758,36178,28374,10836,3015,36300,30661
1606905389381690051:1,1,18147-1,20,24128,30936,38059,39841,3602,21763,12604,19159,34674,35852,25000,26887,35888,10610,32619,33701,22264,23613,265,34098-1,20,8069,27852,10125,13796,40015,16439,19452,4798,24461,24744,11233,9177,8727,14742,3794,27136,16438,10433,31214,32267
1606905389381919511:1,1,12311-1,20,19222,20014,7426,16361,17035,7081,20266,3386,4925,11255,14939,28662,13888,25948,17880,5335,5806,4981,2282,28513-1,20,13637,18283,33217,13768,27516,28960,26336,2659,22929,15215,24233,31221,7727,28528,25766,2516,19996,12548,31808,25372
1606905389382381799:1,1,34336-1,20,23997,20612,16927,21711,2556,4205,31146,28030,37097,10395,7793,15697,20611,35126,28263,25750,25827,309,8599,20827-1,20,5511,28116,35331,20008,35580,15783,8942,5676,39134,29470,34049,10870,10832,9608,5396,10071,15963,11688,14809,40310
1606905390382934600:1,1,11595-1,20,34041,20702,31836,33565,9070,126,10808,8593,3014,1785,39200,34922,12058,19108,13912,33076,980,12859,25763,28856-1,20,4397,31053,466,39520,4457,575,19725,2905,14846,8649,26565,35973,17650,26536,21332,8554,35203,32698,36695,19674
1606905390383389105:1,1,24878-1,20,14281,817,13472,14628,25045,29373,17988,9496,10354,28319,7930,1910,21765,23005,18524,5574,2605,20119,6940,16827-1,20,6936,33855,20214,11996,37146,7650,2109,22262,14166,17144,35114,14254,12828,35791,4483,12574,38946,8486,13091,39493
