1606905376348221228:1,20,32810,7110,24476,2917,5147,7826,31810,24631,1514,32200,20590,23541,12703,33043,33129,25182,25108,17264,3460,36110-20,1,1867,29600,2232,5285,1702,19933,27733,39891,31285,31618,17950,29044,34750,35093,36820,4598,1804,37964,34447,27083-1,1,19046
1606905376348727759:1,20,7413,23523,1946,4698,330,2803,34248,13114,39267,497,36711,29453,10015,7628,19299,14510,33988,8950,21328,7932-20,1,30033,13669,24339,9519,5012,33497,5165,26815,23747,2071,15433,8083,26080,35397,7257,34723,21072,309,34652,11625-1,1,23209
1606905377348998702:1,20,31389,6062,17103,29525,1154,4646,24778,7672,28703,17828,14536,3973,8960,25254,21116,30088,1101,2949,21838,5021-20,1,14759,16443,36131,21993,28640,27911,28304,26626,14368,30936,12824,10739,4957,34877,5910,28179,33598,17046,36589,13436-1,1,10521
1606905377349371818:1,20,33087,20534,2556,34631,39680,21662,1832,4303,39751,37927,11090,8549,23467,12612,18286,32174,15134,23813,1052,12999-20,1,15249,2467,8569,9222,11206,17886,26816,30587,15828,9634,19586,12382,9660,2394,11618,13086,11318,28084,3606,1421-1,1,28992
1606905377349589778:1,20,12442,31628,14551,297,35695,19189,28628,39998,9156,3646,12303,40064,27789,31670,8781,760,23935,6035,21601,15309-20,1,13047,32117,28534,11330,30370,9970,39984,22798,14104,28213,3233,27563,1865,3421,8050,5642,36295,10593,30345,32959-1,1,9277
1606905377350200128:1,20,22038,9101,3789,2336,31856,21416,18848,19257,18558,4817,1341,20697,10959,24071,24980,13080,3742,32325,13128,5413-20,1,20126,33025,31539,22388,23207,15088,31950,30684,34170,1078,30735,37348,10127,13780,31677,5526,38058,1675,2089,10574-1,1,33123
1606905377350627636:1,20,19196,2051,28456,13460,3334,29058,7784,32403,4671,10551,33767,6362,27097,12709,18128,28926,29885,16446,29239,17134-20,1,7695,7228,5064,25027,17738,17460,5591,17337,19084,12728,1991,26277,19683,39719,27173,35077,3960,7791,27998,38281-1,1,8837
1606905377350827568:1,20,9435,35697,19515,31198,11736,21789,7169,16561,19898,2909,30112,34205,25549,28725,25050,4094,3732,18823,9287,29822-20,1,17098,33039,23305,4151,18524,867,36312,22046,29688,34234,18514,29041,22715,38483,25741,27140,39314,10692,1558,17837-1,1,5091
1606905377351214303:1,20,31794,91,36916,37710,22514,14483,35227,23284,22322,11728,4313,27819,6209,39461,8579,2774,32833,2072,6958,19146-20,1,16447,22773,11172,23756,12263,24789,2624,22027,23023,18283,10017,28375,27159,32229,25381,22864,35773,17321,19282,22507-1,1,29131
1606905377351691288:1,20,32612,24036,30469,32834,9197,16753,37493,24782,19542,27941,7898,11159,25203,15738,24286,23320,34291,2180,5482,3691-20,1,2097,21008,23672,427,19309,24417,4520,26405,8283,29739,13523,38681,40182,23865,31673,31190,27459,16153,27340,16125-1,1,23203
