1606905424488271138:20,1,22828,28383,4432,22383,380,24393,2297,16801,23133,28627,39581,39165,1299,16077,28529,7353,37057,11318,22336,34667-1,1,38923-20,1,23616,16807,29759,29499,9561,17403,19954,36046,1517,27133,27514,28793,605,33169,30369,12400,3232,37193,9023,12991
1606905424489029429:20,1,18971,32331,28684,23678,26316,39296,24189,25857,29037,22899,20654,34720,14050,33461,6023,39250,14041,38669,1086,2126-1,1,14167-20,1,13256,24384,26905,585,17141,11954,30745,772,1032,31500,37351,26975,13169,31676,3671,18454,2538,3753,27593,31688
1606905424489473280:20,1,8696,38574,12210,22201,28136,29262,27094,31415,15525,18911,11431,577,4510,16220,36756,7835,20987,3331,28829,1057-1,1,39666-20,1,3447,22743,3467,39264,39912,36560,20954,27329,13309,1705,35559,18430,19534,37900,13239,1114,15181,28674,12395,29094
1606905424489992472:20,1,8259,37587,15628,28858,15200,38065,27967,19645,26463,13229,15500,26626,17301,14999,5267,17106,33177,21502,29210,13315-1,1,38342-20,1,6096,23644,15805,22213,16071,9031,30115,17449,23212,39323,33230,13092,32081,17453,34279,4731,33923,31742,37350,6291
1606905424490635214:20,1,19247,17306,38724,6800,24712,25651,1443,15464,8526,17066,11084,20483,17148,2440,8212,27057,38395,22661,7867,2968-1,1,37052-20,1,30180,15571,21009,638,17843,17341,14644,28942,36212,19162,183,33793,28395,10570,34260,7110,11000,8600,24966,13714
1606905425491220287:20,1,23277,31718,3098,34522,31396,19212,27458,31320,18488,35758,877,26224,10637,9774,20051,10265,35544,35368,39628,13998-1,1,12758-20,1,1702,11102,2685,21618,14716,40195,34840,16042,18305,1662,31711,9915,1175,18727,22060,22384,16361,4804,1448,1245
1606905425492049976:20,1,12419,40017,5757,16534,18642,37995,19130,19394,16220,4822,242,7065,3357,12636,4202,28642,38412,24635,104,10002-1,1,19400-20,1,19316,23534,619,30426,7786,17713,1056,23727,25880,2403,28585,35304,15801,19899,21671,10372,9150,20225,3666,30509
1606905425492571865:20,1,8607,14391,11424,17811,19462,36123,34064,28963,5934,21869,35346,11998,38087,12153,32630,14027,35474,19159,30642,11972-1,1,30391-20,1,38337,12428,20422,8567,21839,37683,32614,18451,38569,15412,8436,20840,17385,35483,24891,8628,33871,16905,36207,40098
1606905425493105557:20,1,29384,34814,1877,29035,38787,31091,27727,32559,19614,32613,8576,20159,32897,16649,27634,29870,25414,16153,24805,33841-1,1,27236-20,1,36438,6303,18740,18994,2436,39336,7591,23835,16836,27771,37119,37103,4660,13200,20160,658,16943,19586,29768,16766
1606905425493538771:20,1,20992,1560,22129,37514,25827,13105,21761,16116,8594,16017,30446,22372,48,37819,594,21648,24484,28621,19101,24186-1,1,8188-20,1,32128,16320,24025,34996,7239,12979,8281,38396,14857,13098,34601,5827,21585,4181,26361,38672,4009,3210,7144,1800
1606905426494020453:20,1,29651,12484,21573,32713,29410,16888,21315,20159,33090,4910,28698,21185,16153,37317,3996,2049,30932,6386,1804,14495-1,1,2739-20,1,24520,2454,4781,30068,4172,19641,7254,13303,36706,2365,18427,33975,4401,16887,15515,21479,31830,28937,19312,14442
1606905426494773163:20,1,6375,9224,29879,27557,25408,26218,26530,18898,5782,6842,7058,28213,25252,23461,20637,18043,7610,6602,5560,25296-1,1,33511-20,1,40143,36410,23644,19660,35063,19773,22092,17243,1705,19023,3493,34676,32844,16618,16186,39783,8790,30175,12828,25346
1606905426495417413:20,1,3300,35785,30122,19479,15918,21048,14504,26729,22451,17089,375,12075,35698,39688,37364,16745,22011,30118,32129,14780-1,1,832-20,1,13285,33787,40012,11724,32493,3796,11094,7986,3777,12220,31070,26772,33862,29808,28355,18343,2918,3271,33275,39785
1606905426495922078:20,1,4658,38041,8621,10330,29945,21885,3511,15921,27222,2173,9113,31840,2575,31958,39624,14223,17198,36460,31071,34902-1,1,11806-20,1,34551,39164,25587,30785,10674,38043,26587,25305,16628,15204,4598,25690,32437,11043,28678,16510,17467,1866,28381,31455
1606905426496650245:20,1,14089,9535,36774,31414,724,9542,25037,13986,23362,6987,40254,4136,3087,15413,34037,16251,17530,15957,26438,3261-1,1,9852-20,1,32545,19725,14957,24399,16087,27243,8030,17127,19299,16780,7883,40273,6754,12252,14963,16200,9741,13466,12939,13860
1606905427497379301:20,1,7912,9119,1399,24791,1847,36782,4716,34868,5669,17429,9121,3879,25763,19979,17228,32119,14143,24479,23881,32835-1,1,24427-20,1,17135,24562,24875,4506,20970,11781,27639,30336,38143,27619,26601,20696,153,3220,14522,18407,18373,36022,31775,11304
1606905427498094240:20,1,12599,37825,23226,9534,23893,16149,35758,38075,3694,2495,25347,8255,6723,38172,21955,286,5975,21970,4492,26748-1,1,25920-20,1,28685,30546,6624,28489,4153,27055,34751,31901,27247,2878,18814,17421,34899,11703,6706,17251,11947,31064,40326,20219
1606905427498834638:20,1,38309,23127,30959,27051,11830,27933,24720,27180,24642,38295,34520,25382,13100,19258,20046,22417,21629,8240,34456,32616-1,1,26360-20,1,19578,28031,32086,2197,16979,14380,7745,14095,863,23782,37408,18415,33480,9631,34716,35552,30012,27251,7749,5917
1606905427499609097:20,1,10929,32628,5462,17816,3990,31862,39851,3727,21018,4793,20764,25834,36159,14007,1140,756,383,28563,36153,11540-1,1,6287-20,1,28725,37692,29682,2446,5370,34388,37952,33906,8700,36635,17259,40097,23932,1421,23519,10916,25091,16053,12329,18162
1606905428500353326:20,1,2286,33945,31552,2919,37180,19858,8926,38592,39026,2066,26148,7238,4820,2696,7085,29976,16878,16299,38888,10802-1,1,31371-20,1,16316,20156,20465,21423,7478,23145,34160,12052,2818,27297,39607,32053,28896,24677,5948,22762,31619,37086,21369,16642
